Speed,TS_Sent,TS_Recv,Latency_ms
41.208,1765894974.594947,1765894974.595000,0.053
20.056,1765894974.605089,1765894974.605000,-0.089
73.872,1765894974.615219,1765894974.615000,-0.219
89.564,1765894974.625302,1765894974.636000,10.698
73.584,1765894974.635387,1765894974.636000,0.613
43.672,1765894974.645461,1765894974.646000,0.539
45.142,1765894974.655546,1765894974.656000,0.454
65.715,1765894974.665629,1765894974.666000,0.371
87.193,1765894974.675712,1765894974.676000,0.288
25.734,1765894974.685791,1765894974.686000,0.209
78.454,1765894974.695903,1765894974.696000,0.097
70.954,1765894974.705991,1765894974.706000,0.009
74.659,1765894974.716076,1765894974.716000,-0.076
19.304,1765894974.726153,1765894974.726000,-0.153
4.050,1765894974.736242,1765894974.736000,-0.242
78.570,1765894974.746321,1765894974.746000,-0.321
78.723,1765894974.756395,1765894974.757000,0.605
71.385,1765894974.766466,1765894974.767000,0.534
58.039,1765894974.776553,1765894974.777000,0.447
22.568,1765894974.786627,1765894974.787000,0.373
11.527,1765894974.796728,1765894974.797000,0.272
45.035,1765894974.806815,1765894974.817000,10.185
4.948,1765894974.816891,1765894974.817000,0.109
9.357,1765894974.826966,1765894974.827000,0.034
28.993,1765894974.837048,1765894974.837000,-0.048
61.685,1765894974.847127,1765894974.847000,-0.127
13.803,1765894974.857201,1765894974.867000,9.799
61.912,1765894974.867272,1765894974.867000,-0.272
13.149,1765894974.877347,1765894974.877000,-0.347
49.581,1765894974.887436,1765894974.888000,0.564
70.446,1765894974.897552,1765894974.898000,0.448
91.997,1765894974.907657,1765894974.918000,10.343
59.252,1765894974.917796,1765894974.918000,0.204
47.081,1765894974.927898,1765894974.928000,0.102
45.917,1765894974.938038,1765894974.938000,-0.038
53.316,1765894974.948293,1765894974.948000,-0.293
49.297,1765894974.958628,1765894974.959000,0.372
61.076,1765894974.968832,1765894974.969000,0.168
87.131,1765894974.978974,1765894974.979000,0.026
28.528,1765894974.989095,1765894974.989000,-0.095
7.813,1765894974.999183,1765894974.999000,-0.183
18.616,1765894975.009259,1765894975.009000,-0.259
93.864,1765894975.019338,1765894975.019000,-0.338
92.207,1765894975.029416,1765894975.030000,0.584
17.529,1765894975.039485,1765894975.040000,0.515
18.066,1765894975.049661,1765894975.050000,0.339
55.696,1765894975.059820,1765894975.060000,0.180
63.164,1765894975.069969,1765894975.070000,0.031
2.238,1765894975.080108,1765894975.080000,-0.108
57.325,1765894975.090347,1765894975.101000,10.653
49.699,1765894975.100662,1765894975.101000,0.338
35.791,1765894975.110918,1765894975.111000,0.082
8.468,1765894975.121081,1765894975.121000,-0.081
82.230,1765894975.131345,1765894975.131000,-0.345
13.834,1765894975.141629,1765894975.152000,10.371
20.336,1765894975.151771,1765894975.152000,0.229
54.974,1765894975.162213,1765894975.162000,-0.213
82.628,1765894975.172445,1765894975.173000,0.555
83.641,1765894975.182607,1765894975.183000,0.393
13.964,1765894975.192753,1765894975.193000,0.247
51.912,1765894975.203031,1765894975.203000,-0.031
94.175,1765894975.213278,1765894975.213000,-0.278
4.805,1765894975.223559,1765894975.234000,10.441
6.505,1765894975.233795,1765894975.234000,0.205
77.587,1765894975.244038,1765894975.244000,-0.038
14.770,1765894975.254283,1765894975.254000,-0.283
35.021,1765894975.264536,1765894975.265000,0.464
30.152,1765894975.274680,1765894975.285000,10.320
90.746,1765894975.284824,1765894975.285000,0.176
6.150,1765894975.294952,1765894975.295000,0.048
31.821,1765894975.305042,1765894975.305000,-0.042
76.204,1765894975.315159,1765894975.315000,-0.159
92.491,1765894975.325232,1765894975.325000,-0.232
6.095,1765894975.335307,1765894975.335000,-0.307
95.715,1765894975.345383,1765894975.346000,0.617
87.463,1765894975.355457,1765894975.356000,0.543
56.828,1765894975.365548,1765894975.366000,0.452
1.540,1765894975.375618,1765894975.376000,0.382
94.842,1765894975.385686,1765894975.386000,0.314
52.460,1765894975.395756,1765894975.396000,0.244
54.391,1765894975.405832,1765894975.416000,10.168
36.759,1765894975.415910,1765894975.416000,0.090
60.515,1765894975.425985,1765894975.426000,0.015
45.739,1765894975.436063,1765894975.436000,-0.063
64.383,1765894975.446148,1765894975.446000,-0.148
73.542,1765894975.456241,1765894975.466000,9.759
95.106,1765894975.466318,1765894975.466000,-0.318
17.053,1765894975.476396,1765894975.477000,0.604
28.923,1765894975.486491,1765894975.487000,0.509
35.593,1765894975.496571,1765894975.497000,0.429
82.330,1765894975.506659,1765894975.517000,10.341
16.465,1765894975.516733,1765894975.517000,0.267
54.231,1765894975.526805,1765894975.527000,0.195
45.570,1765894975.536887,1765894975.537000,0.113
40.847,1765894975.546979,1765894975.547000,0.021
94.576,1765894975.557067,1765894975.567000,9.933
36.941,1765894975.567152,1765894975.567000,-0.152
92.714,1765894975.577235,1765894975.577000,-0.235
96.416,1765894975.587313,1765894975.587000,-0.313
56.711,1765894975.597404,1765894975.598000,0.596
2.445,1765894975.607493,1765894975.608000,0.507
92.567,1765894975.617715,1765894975.618000,0.285
18.364,1765894975.627947,1765894975.628000,0.053
56.112,1765894975.638187,1765894975.638000,-0.187
24.450,1765894975.648432,1765894975.649000,0.568
32.844,1765894975.658701,1765894975.659000,0.299
35.260,1765894975.668853,1765894975.669000,0.147
50.108,1765894975.679015,1765894975.679000,-0.015
85.216,1765894975.689255,1765894975.700000,10.745
61.845,1765894975.699508,1765894975.700000,0.492
17.708,1765894975.709743,1765894975.710000,0.257
93.944,1765894975.719915,1765894975.720000,0.085
5.689,1765894975.730067,1765894975.730000,-0.067
95.388,1765894975.740329,1765894975.751000,10.671
29.935,1765894975.750470,1765894975.751000,0.530
36.702,1765894975.760702,1765894975.761000,0.298
35.167,1765894975.770953,1765894975.771000,0.047
59.180,1765894975.781196,1765894975.781000,-0.196
49.443,1765894975.791438,1765894975.792000,0.562
36.631,1765894975.801618,1765894975.802000,0.382
81.164,1765894975.811818,1765894975.812000,0.182
22.060,1765894975.822090,1765894975.832000,9.910
2.392,1765894975.832236,1765894975.832000,-0.236
55.196,1765894975.842495,1765894975.843000,0.505
67.204,1765894975.852719,1765894975.853000,0.281
82.639,1765894975.862968,1765894975.863000,0.032
8.755,1765894975.873212,1765894975.884000,10.788
95.777,1765894975.883401,1765894975.884000,0.599
91.237,1765894975.893638,1765894975.894000,0.362
57.341,1765894975.903835,1765894975.904000,0.165
30.213,1765894975.914083,1765894975.914000,-0.083
99.966,1765894975.924329,1765894975.924000,-0.329
2.225,1765894975.934578,1765894975.935000,0.422
38.503,1765894975.944817,1765894975.945000,0.183
43.118,1765894975.955064,1765894975.965000,9.936
57.594,1765894975.965311,1765894975.965000,-0.311
48.471,1765894975.975559,1765894975.976000,0.441
92.891,1765894975.985813,1765894975.986000,0.187
25.216,1765894975.996053,1765894975.996000,-0.053
90.655,1765894976.006302,1765894976.006000,-0.302
49.297,1765894976.016546,1765894976.017000,0.454
75.444,1765894976.026771,1765894976.027000,0.229
65.290,1765894976.036927,1765894976.047000,10.073
45.325,1765894976.047089,1765894976.047000,-0.089
55.591,1765894976.057348,1765894976.057000,-0.348
94.987,1765894976.067615,1765894976.068000,0.385
1.739,1765894976.077775,1765894976.078000,0.225
37.175,1765894976.087962,1765894976.098000,10.038
19.502,1765894976.098221,1765894976.098000,-0.221
44.012,1765894976.108510,1765894976.109000,0.490
77.979,1765894976.118673,1765894976.119000,0.327
47.231,1765894976.128829,1765894976.129000,0.171
72.455,1765894976.139169,1765894976.139000,-0.169
95.436,1765894976.149328,1765894976.149000,-0.328
67.754,1765894976.159473,1765894976.160000,0.527
45.988,1765894976.169765,1765894976.170000,0.235
80.742,1765894976.179931,1765894976.180000,0.069
70.881,1765894976.190228,1765894976.190000,-0.228
91.719,1765894976.200599,1765894976.201000,0.401
12.706,1765894976.210861,1765894976.211000,0.139
50.683,1765894976.221144,1765894976.232000,10.856
13.729,1765894976.231404,1765894976.232000,0.596
28.442,1765894976.241725,1765894976.242000,0.275
